image1,image2,ssim_score
cat_1020.png,cat_1104.png,0.556613
cat_10.png,cat_1016.png,0.556439
cat_1021.png,cat_1093.png,0.556388
cat_1151.png,cat_1190.png,0.556113
cat_12.png,cat_1220.png,0.556044
cat_124.png,cat_1265.png,0.555959
cat_1050.png,cat_1249.png,0.555933
cat_1016.png,cat_1271.png,0.555821
cat_1040.png,cat_1265.png,0.555699
cat_1104.png,cat_119.png,0.555569
cat_1177.png,cat_1221.png,0.555425
cat_1039.png,cat_108.png,0.555015
cat_1165.png,cat_1167.png,0.554992
cat_1265.png,cat_1266.png,0.554896
cat_1210.png,cat_1274.png,0.554837
cat_1271.png,cat_1304.png,0.554775
cat_1042.png,cat_1177.png,0.554756
cat_1016.png,cat_1167.png,0.554715
cat_1021.png,cat_1235.png,0.554687
cat_1011.png,cat_1274.png,0.554686
cat_1050.png,cat_1221.png,0.554626
cat_10.png,cat_1005.png,0.554527
cat_1016.png,cat_1082.png,0.554509
cat_1165.png,cat_1220.png,0.554427
cat_1006.png,cat_1062.png,0.554327
cat_1039.png,cat_1199.png,0.553294
cat_1016.png,cat_1098.png,0.553282
cat_10.png,cat_1104.png,0.552788
cat_1112.png,cat_119.png,0.552714
cat_1167.png,cat_124.png,0.552681
cat_1006.png,cat_1036.png,0.552649
cat_10.png,cat_1177.png,0.552642
cat_108.png,cat_1167.png,0.552638
cat_103.png,cat_1213.png,0.552607
cat_1264.png,cat_1279.png,0.552537
cat_1011.png,cat_1177.png,0.552456
cat_1112.png,cat_1304.png,0.552401
cat_1006.png,cat_1055.png,0.552346
cat_119.png,cat_1279.png,0.552190
cat_1038.png,cat_1127.png,0.551908
cat_1167.png,cat_1190.png,0.551762
cat_1264.png,cat_1271.png,0.551620
cat_1021.png,cat_1233.png,0.551517
cat_1182.png,cat_1302.png,0.551433
cat_1040.png,cat_1065.png,0.551325
cat_1246.png,cat_1265.png,0.551179
cat_1104.png,cat_121.png,0.551051
cat_1050.png,cat_1213.png,0.550870
cat_1050.png,cat_1279.png,0.550798
cat_1039.png,cat_1082.png,0.550769
cat_1062.png,cat_1238.png,0.550751
cat_100.png,cat_1021.png,0.550716
cat_1093.png,cat_1199.png,0.550677
cat_10.png,cat_1279.png,0.550597
cat_10.png,cat_1038.png,0.550590
cat_1039.png,cat_1050.png,0.550546
cat_1036.png,cat_1046.png,0.550545
cat_1037.png,cat_1062.png,0.550497
cat_108.png,cat_1282.png,0.550360
cat_103.png,cat_1105.png,0.550360
cat_117.png,cat_125.png,0.550255
cat_1070.png,cat_1238.png,0.550128
cat_1235.png,cat_1304.png,0.550016
cat_108.png,cat_1271.png,0.549958
cat_1112.png,cat_1264.png,0.549870
cat_1081.png,cat_1098.png,0.549841
cat_1082.png,cat_1093.png,0.549835
cat_108.png,cat_1093.png,0.549809
cat_1093.png,cat_1304.png,0.549659
cat_1167.png,cat_1177.png,0.549418
cat_1021.png,cat_1142.png,0.549302
cat_1093.png,cat_119.png,0.549285
